Time(seconds),Population,AverageSpeed,AverageSight,AverageMetabolism,AverageMutationRate(%)
1.01667,61,139.646,281.416,0.0468048,98.5391
2.03333,69,139.889,292.921,0.0467853,98.518
3.0375,70,140.952,291.217,0.046369,98.4825
4.04583,69,140.325,286.156,0.0462758,98.4961
5.05,67,139.968,284.28,0.0464439,98.508
6.08333,61,138.32,284.218,0.0467015,98.5563
7.12499,57,137.48,280.483,0.0461577,98.5294
8.13332,50,134.905,266.254,0.0452253,98.3585
9.17916,38,133.922,257.596,0.0451488,98.2523
10.2208,28,132.042,239.579,0.0454227,98.1328
11.25,22,135.782,229.573,0.044717,97.9739
12.2708,18,135.848,226.048,0.046812,97.8941
13.3208,17,133.455,223.6,0.0480205,97.8486
14.375,15,133.626,223.104,0.0473507,98.1945
15.375,15,133.626,223.104,0.0473507,98.1945
16.375,18,131.768,229.053,0.0467046,98.2705
17.4083,18,131.768,229.053,0.0467046,98.2705
18.4084,20,129.897,230.613,0.0465928,98.2731
19.4084,21,129.571,226.493,0.0465761,98.2444
20.4292,22,129.573,218.697,0.0471291,98.2627
21.4917,22,130.014,209.485,0.0472448,98.383
22.5542,22,130.014,209.485,0.0472448,98.383
23.5709,23,130.713,208.391,0.0476691,98.3885
24.6209,23,130.713,208.391,0.0476691,98.3885
25.6709,23,130.713,208.391,0.0476691,98.3885
26.7209,26,129.079,209.449,0.0473365,98.2862
27.7459,27,128.801,207.748,0.046799,98.3497
28.7751,26,129.536,213.815,0.0467064,98.2862
29.8042,26,128.563,208.011,0.0466554,98.2736
30.8334,27,127.685,210.706,0.0465686,98.0294
31.8917,28,126.696,207.345,0.0464982,98.0283
32.9751,28,126.696,207.345,0.0464982,98.0283
34.0584,28,128.753,202.896,0.0468144,98.0653
35.1417,29,129.49,201.227,0.0474723,98.0444
36.1542,29,129.49,201.227,0.0474723,98.0444
37.2042,29,129.49,201.227,0.0474723,98.0444
38.2542,32,130.649,206.349,0.0476378,98.1137
39.3042,33,130.757,203.217,0.0474688,98.1002
40.3543,32,131.358,206.749,0.0475273,98.2476
41.3543,31,130.752,208.434,0.0469349,98.273
42.3626,33,130.348,212.287,0.0473153,98.2133
43.3709,32,131.908,207.887,0.0476332,98.2507
44.3793,32,133.991,213.68,0.0477974,98.3424
45.3876,34,134.2,212.845,0.0481049,98.4166
46.396,33,134.405,212.13,0.0483457,98.4725
47.4418,34,135.224,212.209,0.0486136,98.4613
48.4959,36,135.206,213.684,0.0482857,98.3627
49.5501,38,133.661,207.695,0.0483518,98.3422
50.6043,39,133.1,208.309,0.0481579,98.3305
51.6584,42,133.291,209.06,0.0480921,98.3163
52.7168,43,133.582,211.185,0.0481127,98.3237
53.7167,45,134.591,217.468,0.0483297,98.3348
54.7167,44,135.446,221.732,0.0482854,98.366
55.7167,45,133.689,217.69,0.04821,98.2749
56.7167,45,133.689,217.69,0.04821,98.2749
57.7167,45,133.593,216.672,0.048112,98.2682
58.7167,47,133.861,208.473,0.0486264,98.2721
59.7166,50,134.149,202.039,0.0486426,98.2258
60.75,49,132.534,204.554,0.0488779,98.1888
61.7917,49,132.768,201.802,0.0490699,98.2509
62.8333,50,131.18,201.489,0.0490128,98.2437
63.875,48,130.86,204.568,0.0487977,98.2217
64.9167,45,127.941,196.404,0.0484173,98.2573
65.9583,46,128.811,194.509,0.0480685,98.2673
67,44,129.038,195.899,0.048203,98.1614
68.0791,43,130.456,196.917,0.0479953,98.1801
69.1624,38,129.712,198.953,0.0475819,98.1631
70.2457,36,130.183,205.034,0.0478262,98.2355
71.329,36,132.644,204.486,0.0476636,98.3527
72.4123,38,133.652,205.931,0.047763,98.343
73.4956,39,133.689,206.733,0.0478346,98.3285
74.5789,40,132.92,204.827,0.0477673,98.3509
75.6622,41,132.223,202.392,0.047616,98.371
76.6747,44,129.729,193.856,0.0474355,98.4869
77.6872,48,130.914,198.25,0.0471329,98.6116
78.6998,48,130.914,198.25,0.0471329,98.6116
79.7123,49,130.23,195.674,0.0469841,98.6189
80.7248,50,130.094,196.023,0.0469645,98.6465
81.7373,53,129.425,201.772,0.0470234,98.622
82.7499,56,128.385,201.24,0.0473698,98.5299
83.7624,57,127.611,195.515,0.0473414,98.4909
84.7999,55,128.886,193.993,0.0475225,98.4414
85.8499,53,128.812,192.701,0.0477068,98.3753
86.8999,51,129.577,190.845,0.0474697,98.4029
87.95,54,130.117,188.785,0.0474392,98.3604
89,58,129.083,187.968,0.047441,98.2963
90.05,60,130.621,193.079,0.0476275,98.2586
91.1,60,130.253,192.579,0.0475874,98.2706
92.15,63,128.97,187.467,0.0473856,98.2447
93.2042,60,129.218,189.596,0.0474766,98.2619
94.2917,60,128.657,191.917,0.0475629,98.2904
95.3792,56,128.412,182.369,0.0473398,98.3149
96.4668,51,128.387,186.399,0.0474235,98.3169
97.5543,53,128.884,190.47,0.0477721,98.3439
98.6418,54,128.405,191.308,0.0474597,98.3067
99.7293,56,125.781,189.68,0.0479132,98.3012
100.817,61,127.393,193.958,0.0480103,98.2536
101.904,60,127.565,199.209,0.048405,98.2896
102.904,61,128.661,195.121,0.0481038,98.3563
103.904,54,128.511,195.492,0.0484221,98.2978
104.904,53,127.633,194.64,0.0488323,98.2909
105.904,49,129.9,198.926,0.0485423,98.3338
106.904,41,125.943,190.244,0.0485109,98.3394
107.904,39,126.642,189.639,0.0480773,98.3119
108.904,34,126.099,190.686,0.0478851,98.231
